Date,Month(#),Month(Name),Day of Month,Day of Year,Day,Calories Burned,Steps,Distance,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Schoolnight,Weekend,Restday
1/1/2018,1,January,1,1,Monday,2474,7938,3.64,629,251,7,0,1023,1,0,0
1/2/2018,1,January,2,2,Tuesday,3052,15588,7.15,717,286,23,52,1707,1,0,0
1/3/2018,1,January,3,3,Wednesday,3500,22551,11.31,627,205,41,110,2154,1,0,0
1/4/2018,1,January,4,4,Thursday,3139,17068,8.9,705,164,32,87,1707,1,0,0
1/5/2018,1,January,5,5,Friday,3281,20038,9.28,741,207,20,100,1896,0,0,1
1/6/2018,1,January,6,6,Saturday,3385,21846,10.34,603,142,31,140,1985,0,1,1
1/7/2018,1,January,7,7,Sunday,2856,13301,6.52,604,175,10,68,1379,1,1,1
1/8/2018,1,January,8,8,Monday,3287,19545,9.68,645,187,51,82,1881,1,0,0
1/9/2018,1,January,9,9,Tuesday,3310,19080,9.65,671,207,21,99,1907,1,0,0
1/10/2018,1,January,10,10,Wednesday,3319,20894,9.99,721,147,58,101,1903,1,0,0
1/11/2018,1,January,11,11,Thursday,3192,17655,8.78,593,240,24,62,1797,1,0,0
1/12/2018,1,January,12,12,Friday,3701,26778,12.36,622,182,83,139,2416,0,0,1
1/13/2018,1,January,13,13,Saturday,3075,17549,8.2,591,147,47,95,1650,0,1,1
1/14/2018,1,January,14,14,Sunday,3198,19054,9.24,687,145,22,114,1769,1,1,1
1/15/2018,1,January,15,15,Monday,2805,13458,6.37,797,128,8,90,1308,1,0,0
1/16/2018,1,January,16,16,Tuesday,3142,17269,8.57,676,210,33,76,1749,1,0,0
1/17/2018,1,January,17,17,Wednesday,3184,19271,9.19,622,138,40,91,1733,1,0,0
1/18/2018,1,January,18,18,Thursday,2504,8403,4.1,933,184,3,26,986,1,0,0
1/19/2018,1,January,19,19,Friday,3428,21779,10.3,668,191,50,124,2091,0,0,1
1/20/2018,1,January,20,20,Saturday,2924,15858,7.46,724,88,32,105,1416,0,1,1
1/21/2018,1,January,21,21,Sunday,2480,7980,3.9,711,188,4,25,969,1,1,1
1/22/2018,1,January,22,22,Monday,2298,6020,2.84,939,123,11,17,696,1,0,0
1/23/2018,1,January,23,23,Tuesday,2705,10238,5.32,783,207,8,39,1219,1,0,0
1/24/2018,1,January,24,24,Wednesday,2335,6472,3.05,761,160,13,6,785,1,0,0
1/25/2018,1,January,25,25,Thursday,2584,9430,4.57,740,184,10,24,1059,1,0,0
1/26/2018,1,January,26,26,Friday,3333,19991,9.51,693,228,48,92,1995,0,0,1
1/27/2018,1,January,27,27,Saturday,2345,6221,3.09,785,137,17,21,778,0,1,1
1/28/2018,1,January,28,28,Sunday,2593,10008,4.79,733,149,36,44,1102,1,1,1
1/29/2018,1,January,29,29,Monday,2877,13235,6.32,666,194,37,64,1446,1,0,0
1/30/2018,1,January,30,30,Tuesday,2830,13332,6.5,764,147,25,65,1333,1,0,0
1/31/2018,1,January,31,31,Wednesday,3137,17823,8.17,716,158,37,115,1730,1,0,0
2/1/2018,2,February,1,32,Thursday,2774,12531,5.79,751,166,22,51,1275,1,0,0
2/2/2018,2,February,2,33,Friday,3422,20778,10.05,677,265,46,85,2114,0,0,1
2/3/2018,2,February,3,34,Saturday,3062,16674,8.27,622,167,18,88,1622,0,1,1
2/4/2018,2,February,4,35,Sunday,2930,15371,7.05,666,129,41,91,1463,1,1,1
2/5/2018,2,February,5,36,Monday,3165,17904,8.37,671,225,73,56,1809,1,0,0
2/6/2018,2,February,6,37,Tuesday,2629,10315,4.81,735,173,18,33,1112,1,0,0
2/7/2018,2,February,7,38,Wednesday,2788,12725,5.84,783,194,26,51,1333,1,0,0
2/8/2018,2,February,8,39,Thursday,2462,8573,3.93,760,128,13,33,893,1,0,0
2/9/2018,2,February,9,40,Friday,3393,20068,9.47,893,251,40,106,2071,0,0,1
2/10/2018,2,February,10,41,Saturday,3091,16632,7.78,617,270,18,58,1736,0,1,1
2/11/2018,2,February,11,42,Sunday,2935,15201,7.01,695,169,28,79,1492,1,1,1
2/12/2018,2,February,12,43,Monday,3122,17178,7.97,737,207,37,81,1727,1,0,0
2/13/2018,2,February,13,44,Tuesday,3373,21043,10.36,638,178,41,108,1988,1,0,0
2/14/2018,2,February,14,45,Wednesday,3387,22143,10.32,591,168,20,132,2003,1,0,0
2/15/2018,2,February,15,46,Thursday,2956,15604,7.31,743,158,35,77,1511,1,0,0
2/16/2018,2,February,16,47,Friday,3793,26650,12.69,659,245,21,155,2521,0,0,1
2/17/2018,2,February,17,48,Saturday,2435,7547,3.5,706,173,10,20,906,0,1,1
2/18/2018,2,February,18,49,Sunday,2249,4768,2.23,736,160,8,2,667,1,1,1
2/19/2018,2,February,19,50,Monday,3398,21012,10.12,720,204,24,128,2054,1,0,0
2/20/2018,2,February,20,51,Tuesday,2682,10696,5.03,682,209,16,30,1207,1,0,0
2/21/2018,2,February,21,52,Wednesday,3458,21742,10.5,881,224,34,108,2104,1,0,0
2/22/2018,2,February,22,53,Thursday,3397,21836,10.21,702,168,21,133,2006,1,0,0
2/23/2018,2,February,23,54,Friday,2859,12714,6.21,797,217,10,45,1393,0,0,1
2/24/2018,2,February,24,55,Saturday,3907,27985,13.15,471,308,68,134,2755,0,1,1
2/25/2018,2,February,25,56,Sunday,2776,13466,6.31,687,107,9,89,1245,1,1,1
2/26/2018,2,February,26,57,Monday,3067,17123,8.22,750,163,19,94,1628,1,0,0
2/27/2018,2,February,27,58,Tuesday,3384,20707,9.9,610,240,9,103,2026,1,0,0
2/28/2018,2,February,28,59,Wednesday,3159,18774,8.84,612,152,22,109,1731,1,0,0
3/1/2018,3,March,1,60,Thursday,3187,18877,8.81,671,149,14,119,1745,1,0,0
3/2/2018,3,March,2,61,Friday,3876,28078,13.04,596,266,39,160,2657,0,0,1
3/3/2018,3,March,3,62,Saturday,2865,14010,6.57,758,150,9,87,1379,0,1,1
3/4/2018,3,March,4,63,Sunday,2999,14531,6.76,743,228,7,86,1598,1,1,1
3/5/2018,3,March,5,64,Monday,3257,19577,9.19,652,196,15,106,1859,1,0,0
3/6/2018,3,March,6,65,Tuesday,3635,24877,11.62,703,207,26,150,2322,1,0,0
3/7/2018,3,March,7,66,Wednesday,3135,18123,8.35,629,180,17,89,1701,1,0,0
3/8/2018,3,March,8,67,Thursday,3220,18957,9.08,767,163,18,119,1801,1,0,0
3/9/2018,3,March,9,68,Friday,3259,19423,8.99,712,201,30,103,1886,0,0,1
3/10/2018,3,March,10,69,Saturday,2536,8008,3.67,763,222,11,22,1051,0,1,1
3/11/2018,3,March,11,70,Sunday,2376,5287,2.42,798,244,0,0,878,1,1,1
3/12/2018,3,March,12,71,Monday,2567,8254,3.79,914,224,13,20,1068,1,0,0
3/13/2018,3,March,13,72,Tuesday,2589,9033,4.61,880,188,14,29,1076,1,0,0
3/14/2018,3,March,14,73,Wednesday,2090,2685,1.23,728,134,0,0,471,1,0,0
3/15/2018,3,March,15,74,Thursday,3175,18522,9.43,704,123,27,112,1722,1,0,0
